year,f024,f161,f162,h125,h126,h133,h134,age_m,age_w,edu_m,edu_w,gen_m,gen_w,NSIB018H,NSIB018DH,FB,girl
2011,yes,very good,good,no,,once or twice a year,no,47,48,3,2,1,1,0,0,1,1
2012,no,good,very good,no,,once or twice a year,no,48,49,3,2,1,1,0,0,1,1
2013,yes,very good,very good,no,,once or twice a year,no,49,50,2,2,1,1,0,0,1,1
2008,no,good,good,yes,yes,once or twice a week,no,58,52,2,1,1,1,2,1,0,0
2008,yes,good,good,yes,yes,five or six days per week,yes,58,52,2,1,1,1,2,0,0,1
2013,,,,,,,,43,43,2,3,4,4,1,1,1,0
2014,,,,,,,,44,44,2,3,4,4,1,1,1,0
2015,,,,,,,,45,46,2,3,4,4,1,0,0,0
2015,,,,,,,,45,46,2,3,4,4,1,1,1,0
2016,,,,,,,,46,47,2,3,4,4,1,0,0,0
2016,,,,,,,,46,47,2,3,4,4,1,1,1,0
2013,,,,,,,,41,44,2,3,4,4,1,1,1,0
2012,,,,yes,"no, I stopped",once or twice a week,no,58,54,2,3,1,1,0,0,1,0
2013,no,good,good,yes,"no, I stopped",once or twice a week,yes,60,56,2,3,1,1,0,0,1,0
2014,no,good,good,,,,,61,57,2,3,1,1,0,0,1,0
2012,,,,,,,,49,46,3,2,1,1,1,1,1,0
2010,,,,,,,,55,45,1,2,1,1,0,0,1,0
2011,,,,,,,,56,46,1,2,1,1,0,0,1,0
2012,,,,,,,,57,47,1,2,1,1,0,0,1,0
2013,,,,,,,,58,48,1,2,1,1,0,0,1,0
2008,no,very good,very good,,,,,48,46,1,2,1,1,2,2,1,1
2008,,,,,,,,47,45,1,2,1,1,2,2,0,0
2009,,,,,,,,48,46,1,2,1,1,2,2,0,0
2010,,,,,,,,49,47,1,2,1,1,2,2,0,0
2011,,,,,,,,50,48,1,2,1,1,2,2,0,0
2011,,,,,,,,50,48,1,2,1,1,2,2,0,0
2008,no,very good,very good,no,,once or twice a week,yes,45,46,3,1,1,1,2,2,0,0
2009,no,good,good,yes,"no, I stopped",once or twice a week,yes,46,47,3,1,1,1,2,2,0,0
2009,,,,yes,yes,once or twice a week,no,45,46,3,1,1,1,2,1,0,1
2010,,,,,,,,46,47,3,1,1,1,2,2,0,0
2010,no,very good,very good,yes,yes,once or twice a week,no,47,48,3,1,1,1,2,1,0,1
2011,no,very good,very good,,,,,48,49,3,1,1,1,2,1,0,1
2012,yes,very good,very good,,,,,49,50,3,1,1,1,2,1,0,1
2011,,,,,,,,45,40,3,3,1,1,1,1,1,0
2012,,,,,,,,46,46,3,3,1,1,1,0,1,0
2013,no,very good,very good,no,,once or twice a week,yes,48,47,3,3,1,1,1,0,1,0
2014,no,very good,very good,,,,,49,48,3,3,1,1,1,0,1,0
2015,,,,,,,,49,49,3,3,4,4,1,0,0,0
2016,no,very good,very good,,,,,51,50,3,3,4,4,1,0,0,0
2008,no,good,good,,,,,40,38,1,2,3,1,1,1,1,0
2009,,,,,,,,40,39,1,2,3,1,1,1,1,0
2008,,,,,,,,52,52,3,2,1,1,1,0,1,1
2008,,,,,,,,52,52,3,2,1,1,1,1,0,0
2009,,,,no,,once or twice a month,yes,53,53,3,2,1,1,1,0,1,1
2009,no,good,good,,,,,54,53,3,2,1,1,1,1,0,0
2010,,,,,,,,54,54,3,2,1,1,1,1,0,0
2011,,,,,,,,55,55,3,2,1,1,1,1,0,0
2016,,,,,,,,64,,2,,1,,1,1,1,0
2015,no,very good,very good,no,,not at all over the last 12 months,,50,49,3,2,4,4,0,0,1,1
2016,no,very good,very good,no,,once or twice a month,no,51,50,3,2,4,4,0,0,1,1
2009,,,,,,,,52,44,2,3,4,4,2,1,1,0
2016,,,,,,,,41,41,3,3,1,3,2,0,1,0
2009,,,,,,,,46,41,2,1,4,4,1,1,1,0
2010,,,,,,,,47,42,2,1,4,4,1,1,1,0
2011,,,,,,,,48,43,2,1,4,4,1,1,1,0
2012,,,,,,,,53,44,2,2,1,1,2,2,1,0
2013,,,,,,,,54,45,2,2,1,1,2,2,1,0
2014,,,,,,,,55,46,2,2,1,1,2,2,1,0
2014,,,,,,,,55,46,2,2,1,1,2,2,0,0
2015,,,,,,,,56,47,2,2,3,1,2,2,0,0
2016,,,,,,,,57,48,2,2,3,1,2,2,0,0
2013,,,,no,,once or twice a year,no,49,47,3,2,3,1,0,0,1,1
2014,no,very good,very good,,,,,50,49,3,2,3,1,0,0,1,1
2015,no,very good,very good,no,,not at all over the last 12 months,,51,50,3,2,3,1,0,0,1,1
2013,,,,,,,,54,49,3,3,1,1,2,2,1,0
2014,,,,,,,,55,50,3,3,1,1,2,2,1,0
2009,,,,,,,,49,46,1,3,4,4,1,1,1,0
2010,,,,,,,,50,47,1,3,4,4,1,0,0,0
2010,,,,,,,,50,47,1,3,4,4,1,1,1,0
2011,,,,,,,,51,48,1,3,4,4,1,0,0,0
2011,,,,,,,,51,48,1,3,4,4,1,1,1,0
2012,,,,,,,,52,49,1,3,4,4,1,0,0,0
2012,,,,,,,,52,49,1,3,4,4,1,1,1,0
2013,,,,,,,,53,50,1,3,4,4,1,0,0,0
2009,,,,,,,,43,40,2,1,4,4,2,2,0,0
2010,,,,,,,,44,41,3,1,4,4,2,2,1,0
2011,,,,,,,,45,42,3,1,4,4,2,2,1,0
2011,,,,,,,,45,42,3,1,1,1,2,1,0,0
2012,,,,,,,,46,43,3,1,4,4,2,2,1,0
2012,,,,,,,,46,43,3,1,1,1,2,1,0,0
2013,,,,,,,,47,44,3,1,1,1,2,1,0,0
2014,,,,,,,,48,45,3,1,4,4,2,1,0,0
2014,,,,,,,,48,45,3,1,1,1,2,1,0,0
2015,,,,,,,,49,47,3,1,4,4,2,1,0,0
2016,,,,,,,,50,48,3,1,4,4,2,1,0,0
2011,,,,,,,,45,44,3,2,1,1,1,1,1,0
2012,,,,,,,,46,45,3,2,1,1,1,1,1,0
2010,,,,yes,yes,once or twice a week,yes,44,45,2,1,1,1,4,2,1,0
2011,no,very good,very good,yes,yes,once or twice a week,yes,45,47,2,1,1,1,4,2,1,0
2011,,,,,,,,45,46,2,1,1,1,4,2,0,0
2012,no,very good,very good,yes,yes,three of four days per week,yes,46,48,2,1,1,1,4,2,1,0
2012,,,,,,,,46,47,2,1,1,1,4,2,0,0
2013,yes,good,good,,,,,47,49,2,1,1,1,4,2,0,0
2013,,,,,,,,47,48,2,1,1,1,4,2,0,0
2014,,,,,,,,48,49,2,1,1,1,4,2,0,0
2015,,,,,,,,49,50,2,1,1,1,4,1,0,0
2015,,,,,,,,49,50,2,1,1,1,4,2,0,0
2016,,,,,,,,50,51,2,1,1,1,4,1,0,0
2016,yes,very good,good,yes,yes,once or twice a week,yes,50,51,2,1,1,1,4,2,0,0
2016,,,,,,,,50,48,3,3,4,4,2,1,1,0
2014,,,,,,,,52,47,3,2,1,2,1,0,1,1
2015,no,very good,very good,no,,not at all over the last 12 months,,53,49,3,2,1,2,1,0,1,1
2016,,,,,,,,54,50,3,2,1,2,1,1,0,0
2016,no,very good,very good,no,,once or twice a year,no,54,50,3,2,1,2,1,0,1,1
2009,,,,,,,,51,44,3,1,1,1,0,0,1,0
2010,yes,very good,good,no,,once every two months,no,52,46,3,1,1,1,0,0,1,0
2011,yes,very good,very good,no,,once every two months,no,53,47,3,1,1,1,0,0,1,0
2012,no,good,good,,,,,54,48,3,1,1,1,0,0,1,0
2011,,,,yes,yes,once or twice a month,yes,48,56,3,3,1,1,1,0,1,1
2012,yes,very good,very good,yes,yes,once or twice a week,yes,50,58,3,3,1,1,1,0,1,1
2013,no,very good,very good,yes,yes,once or twice a week,yes,51,59,3,3,1,1,1,0,1,1
2013,,,,,,,,50,58,3,3,1,1,1,1,0,0
2014,no,very good,very good,,,,,51,59,3,3,1,1,1,0,1,1
2014,no,good,very good,,,,,52,59,3,3,1,1,1,1,0,0
2015,no,good,good,no,,once or twice a month,no,53,60,3,3,1,1,1,1,0,0
2016,no,fairly good,good,no,,once or twice a month,no,54,61,3,3,1,1,1,1,0,0
2013,,,,,,,,46,45,2,3,1,1,2,0,1,0
2014,,,,,,,,47,46,2,3,1,1,2,0,0,0
2014,,,,,,,,47,46,2,3,1,1,2,0,1,0
2015,,,,,,,,49,48,2,3,1,1,2,0,0,0
2015,,,,,,,,49,48,2,3,1,1,2,0,0,0
2011,,,,,,,,45,47,3,3,1,1,2,1,1,0
2012,,,,,,,,46,48,3,3,1,1,2,1,1,0
2013,,,,,,,,47,49,3,3,1,1,2,1,1,0
2014,,,,,,,,48,49,3,3,1,1,2,1,0,0
2014,,,,,,,,48,49,3,3,1,1,2,1,1,0
2015,,,,,,,,49,51,3,3,1,1,2,1,0,0
2015,,,,,,,,49,51,3,3,1,1,2,0,0,1
2016,yes,good,good,,,,,51,52,3,3,1,1,2,1,0,0
2016,no,good,very good,yes,"no, I stopped",once or twice a week,yes,51,52,3,3,1,1,2,0,0,1
2008,,,,yes,yes,once or twice a month,yes,49,44,2,3,1,1,3,1,1,0
2009,no,very good,very good,yes,yes,once or twice a week,yes,40,36,2,3,1,1,3,1,1,0
2010,no,very good,very good,yes,yes,once or twice a week,yes,41,37,2,3,1,1,3,1,1,0
2010,,,,,,,,51,47,2,3,1,1,3,1,0,0
2011,no,very good,good,yes,yes,once or twice a week,yes,42,38,2,3,1,1,3,1,1,0
2011,,,,,,,,52,48,2,3,1,1,3,1,0,0
2012,,,,,,,,53,49,2,3,1,1,3,1,0,0
2012,,,,,,,,53,49,2,3,1,1,3,1,0,0
2013,,,,,,,,54,50,2,3,1,1,3,0,0,1
2013,,,,,,,,54,50,2,3,1,1,3,1,0,0
2013,,,,,,,,54,50,2,3,1,1,3,1,0,0
2014,no,very good,very good,,,,,55,51,2,3,1,1,3,0,0,1
2014,,,,,,,,55,51,2,3,1,1,3,1,0,0
2015,,,,no,,once every two months,no,56,52,2,3,1,1,3,0,0,1
2016,,,,,,,,57,53,2,3,1,1,3,0,0,1
2011,,,,,,,,44,42,2,1,1,1,0,0,1,0
2015,,,,,,,,50,,2,,2,,3,3,1,0
2016,,,,,,,,51,,2,,2,,3,3,1,0
2016,,,,,,,,51,,2,,2,,3,3,1,0
2008,no,good,good,no,,once or twice a week,yes,44,45,2,2,2,1,1,0,1,0
2009,,,,no,,once or twice a week,yes,45,46,2,2,2,1,1,0,1,0
2010,,,,no,,once every two months,no,46,47,2,2,2,1,1,0,0,0
2011,no,very good,very good,no,,once every two months,no,47,48,2,2,2,1,1,0,0,0
2012,,,,no,,once or twice a month,no,48,49,2,2,2,1,1,0,0,0
2013,no,very good,very good,no,,once or twice a year,no,49,50,2,2,2,1,1,0,0,0
2009,,,,,,,,44,44,1,2,4,4,1,1,1,0
2010,,,,,,,,45,45,1,2,4,4,1,1,1,0
2011,,,,,,,,46,46,1,2,4,4,1,1,1,0
2011,,,,,,,,46,46,1,2,4,4,1,0,0,0
2012,,,,,,,,47,47,1,2,4,4,1,1,1,0
2012,,,,,,,,47,47,1,2,4,4,1,0,0,0
2013,,,,,,,,48,48,1,2,4,4,1,0,0,0
2014,,,,,,,,49,49,1,2,4,4,1,0,0,0
2015,,,,yes,"no, I stopped",once or twice a year,yes,47,47,2,3,1,1,1,0,1,0
2016,,,,,,,,48,48,2,3,1,1,1,0,1,0
2008,no,very good,very good,no,,once or twice a year,no,53,48,1,1,3,1,0,0,1,1
2012,,,,no,,once or twice a month,no,45,43,2,2,1,1,1,1,1,1
2013,no,very good,very good,,,,,46,44,2,2,1,1,1,1,1,1
2014,no,very good,very good,,,,,47,45,2,2,1,1,1,1,1,1
2014,,,,,,,,47,45,2,2,1,1,1,1,0,0
2015,,,,,,,,48,46,2,2,1,1,1,1,0,0
2016,,,,,,,,49,47,2,2,1,1,1,1,0,0
2016,,,,,,,,46,41,3,2,1,1,3,2,1,0
2008,no,very good,very good,no,,three of four days per week,yes,46,46,3,2,1,3,0,0,0,0
2012,,,,,,,,42,,2,,1,,0,0,1,0
2013,,,,no,,once or twice a month,yes,43,,2,,1,,0,0,1,0
2014,no,fairly good,good,,,,,47,36,2,2,1,1,0,0,1,0
2012,,,,no,,once or twice a year,yes,49,50,3,3,1,1,1,1,1,1
2013,no,very good,very good,no,,once or twice a week,yes,51,52,3,3,1,1,1,1,1,1
2014,no,very good,very good,,,,,52,53,3,3,1,1,1,1,1,1
2015,,,,,,,,53,54,3,3,1,1,1,1,0,1
2016,yes,very good,very good,no,,once or twice a year,no,54,55,3,3,1,1,0,0,0,1
2012,no,good,good,no,,once or twice a week,yes,59,57,1,1,1,1,1,0,0,0
2012,no,very good,very good,no,,once or twice a week,yes,59,57,1,1,1,1,1,0,1,0
2013,no,good,good,no,,three of four days per week,yes,60,58,1,1,1,1,1,0,0,0
2013,no,very good,very good,no,,once or twice a week,yes,60,58,1,1,1,1,1,0,1,0
2014,no,good,fairly good,,,,,61,59,1,1,1,1,1,0,0,0
2008,no,very good,very good,no,,once every two months,no,47,48,3,2,1,1,1,0,1,0
2008,no,very good,very good,no,,once or twice a month,no,47,48,3,2,1,1,1,0,1,0
2009,no,very good,very good,no,,once or twice a month,no,48,49,3,2,1,1,1,0,1,0
2009,no,very good,very good,no,,once or twice a week,yes,48,49,3,2,1,1,1,0,1,0
2010,,,,no,,once or twice a week,yes,48,49,3,2,1,1,1,0,1,0
2010,no,very good,very good,no,,once or twice a month,no,49,50,3,2,1,1,1,0,1,0
2011,,,,,,,,47,50,2,1,1,1,1,0,1,1
2012,no,good,good,yes,"no, I stopped",once or twice a week,yes,48,52,2,1,1,1,1,0,1,1
2013,,,,yes,"no, I stopped",once or twice a week,yes,49,52,2,1,1,1,1,1,0,0
2013,no,good,good,no,,once or twice a week,yes,49,53,2,1,1,1,1,0,1,1
2014,no,very good,very good,,,,,50,54,2,1,1,1,1,1,0,0
2014,no,fairly good,good,,,,,50,54,2,1,1,1,1,0,1,1
2015,yes,very good,very good,yes,yes,once or twice a week,no,51,55,2,1,1,1,1,1,0,0
2016,,,,,,,,43,44,3,3,1,1,2,0,1,0
2014,,,,,,,,45,45,3,3,1,1,1,1,1,1
2015,yes,fairly good,good,no,,once or twice a week,yes,46,47,3,3,1,1,1,1,1,1
2016,,,,,,,,47,47,3,3,4,4,1,1,0,0
2016,no,good,good,yes,"no, I stopped",once or twice a week,yes,47,48,3,3,1,1,1,1,1,1
2008,,,,no,,not at all over the last 12 months,,46,41,1,1,2,2,0,0,1,1
2015,no,very good,very good,,,,,53,53,2,2,1,1,0,0,1,1
2016,no,very good,very good,no,,not at all over the last 12 months,,54,54,2,2,1,1,0,0,1,1
2009,,,,no,,once or twice a week,yes,47,46,1,2,3,1,1,1,1,0
2010,no,good,good,no,,once or twice a week,yes,49,48,1,2,3,1,1,1,1,0
2011,,,,,,,,49,48,1,2,3,1,1,0,0,1
2011,,,,no,,once or twice a week,yes,49,48,1,2,3,1,1,1,1,0
2012,no,very good,very good,no,,once or twice a week,no,51,50,1,2,3,1,1,0,0,1
2012,no,good,good,,,,,51,50,1,2,3,1,1,1,1,0
2013,no,good,good,no,,once or twice a week,no,52,51,1,2,3,1,1,0,0,1
2014,no,good,fairly good,,,,,53,52,1,2,3,1,1,0,0,1
2012,,,,,,,,46,46,3,2,4,4,1,0,1,0
2013,,,,,,,,47,47,3,2,4,4,1,0,1,0
2014,,,,,,,,48,48,3,2,4,4,1,1,0,0
2014,,,,,,,,48,48,3,2,4,4,1,0,1,0
2015,no,very good,very good,,,,,50,49,3,2,4,4,1,1,0,0
2015,,,,,,,,50,49,3,2,4,4,1,0,1,0
2016,,,,,,,,51,50,3,2,4,4,1,1,0,0
2008,,,,,,,,50,49,3,3,4,4,2,1,1,0
2009,,,,,,,,51,50,3,3,4,4,2,1,1,0
2010,,,,,,,,52,51,3,3,4,4,2,1,1,0
2011,,,,,,,,53,52,3,3,4,4,2,0,0,0
2011,,,,,,,,53,52,3,3,4,4,2,1,1,0
2012,,,,,,,,54,53,3,3,4,4,2,0,0,0
2013,,,,,,,,55,54,3,3,4,4,2,0,0,0
2014,,,,,,,,56,55,3,3,4,4,2,0,0,0
2015,,,,,,,,57,57,3,3,4,4,2,1,0,0
2016,,,,,,,,58,58,3,3,4,4,2,1,0,0
2010,no,good,fairly good,,,,,41,39,3,2,2,2,1,0,1,1
2016,,,,,,,,45,49,2,2,1,1,1,0,1,0
2011,,,,,,,,48,43,2,3,1,1,1,0,1,0
2011,,,,,,,,48,43,2,3,1,1,1,0,1,0
2012,,,,,,,,49,44,2,3,1,1,1,0,1,0
2012,,,,,,,,49,44,2,3,1,1,1,0,1,0
2013,,,,,,,,50,45,2,3,1,1,1,0,1,0
2013,,,,,,,,50,45,2,3,1,1,1,0,1,0
2014,,,,,,,,51,46,2,3,1,1,1,0,1,0
2014,,,,,,,,51,46,2,3,1,1,1,0,1,0
2013,,,,yes,"no, I stopped",once or twice a week,yes,47,48,2,3,1,1,1,1,1,0
2014,no,good,good,,,,,49,49,2,3,1,1,1,1,1,0
2015,no,very good,very good,yes,"no, I stopped",once or twice a week,yes,50,50,2,3,1,1,1,1,1,0
2016,,,,,,,,51,51,2,3,1,1,1,0,0,0
2015,,,,,,,,43,40,1,2,1,2,1,0,1,0
2016,,,,,,,,44,41,1,1,1,2,1,0,1,0
2013,,,,,,,,44,45,3,2,1,1,1,0,1,0
2014,,,,,,,,45,46,3,2,1,1,1,0,1,0
2015,,,,,,,,,48,,2,,1,1,0,0,0
2016,,,,,,,,,49,,1,,1,1,1,0,0
2010,,,,no,,once or twice a week,yes,43,42,3,2,1,1,1,1,1,0
2011,no,very good,very good,no,,once or twice a week,yes,44,43,3,2,1,1,1,1,1,0
2012,no,very good,good,,,,,45,44,3,2,1,1,1,1,1,0
2012,,,,no,,once or twice a week,yes,45,44,3,2,1,1,1,0,0,1
2013,,,,no,,once or twice a month,no,,45,,2,,1,1,1,1,0
2013,no,not so good,fairly good,no,,once or twice a week,yes,46,46,,2,,1,1,0,0,1
2014,yes,good,good,,,,,47,47,,2,,1,1,0,0,1
2008,,,,,,,,46,43,1,2,1,3,1,0,1,0
2009,,,,,,,,48,44,1,2,1,3,1,0,1,0
2010,,,,,,,,48,45,1,2,1,3,1,0,1,0
2015,,,,,,,,54,50,1,2,4,4,1,0,0,0
2008,,,,,,,,49,48,3,2,1,1,1,1,1,1
2008,,,,,,,,49,48,3,2,1,1,1,1,1,1
2009,,,,no,,not at all over the last 12 months,,50,48,3,2,1,1,1,1,1,1
2009,,,,no,,not at all over the last 12 months,,50,48,3,2,1,1,1,1,1,1
2010,,,,no,,not at all over the last 12 months,,51,49,3,2,1,1,1,1,1,1
2010,,,,no,,not at all over the last 12 months,,51,49,3,2,1,1,1,1,1,1
2011,no,good,good,,,,,53,51,3,2,1,1,1,1,1,1
2011,no,good,good,no,,once or twice a week,no,53,51,3,2,1,1,1,1,1,1
2011,,,,,,,,48,42,2,2,4,4,1,0,1,0
2012,,,,,,,,49,43,2,2,4,4,1,0,1,0
2013,,,,,,,,50,44,2,2,4,4,1,0,1,0
2014,,,,,,,,51,45,2,2,4,4,1,1,0,0
2014,,,,,,,,51,45,2,2,4,4,1,0,1,0
2015,,,,,,,,52,47,2,2,4,4,1,1,0,0
2015,,,,,,,,,52,,3,,1,0,0,1,0
2016,no,very good,fairly good,no,,not at all over the last 12 months,,52,53,,3,,1,0,0,1,0
2009,,,,no,,once or twice a week,yes,44,41,3,1,1,1,1,0,1,1
2010,,,,yes,"no, I stopped",three of four days per week,yes,45,42,3,1,1,1,1,1,0,0
2010,yes,very good,very good,no,,once or twice a month,yes,46,43,3,1,1,1,1,0,1,1
2011,,,,,,,,46,43,3,1,1,1,1,1,0,0
2011,no,very good,good,,,,,47,44,3,1,1,1,1,0,1,1
2012,,,,,,,,47,44,3,1,1,1,1,1,0,0
2012,,,,,,,,47,44,3,1,1,1,1,0,0,1
2008,,,,,,,,54,45,1,1,4,4,1,1,1,0
2008,,,,no,,once or twice a year,no,54,45,1,1,1,1,1,0,0,1
2009,,,,,,,,55,46,1,1,4,4,1,1,1,0
2009,no,good,good,no,,once every two months,no,56,47,1,1,1,1,1,0,0,1
2010,no,good,good,no,,once or twice a week,no,57,48,1,1,1,1,1,0,0,1
2011,no,good,good,,,,,58,49,1,1,1,1,1,0,0,1
2008,yes,very good,very good,yes,yes,three of four days per week,yes,58,56,3,3,1,1,0,0,1,1
2009,no,very good,very good,yes,yes,three of four days per week,yes,59,57,3,3,1,1,0,0,1,1
2008,,,,,,,,50,45,2,1,4,4,1,0,1,0
2008,,,,,,,,50,45,2,1,4,4,1,0,0,0
2009,,,,,,,,51,,2,,1,,1,0,0,0
2010,,,,,,,,52,,2,,1,,1,0,0,0
2011,,,,,,,,53,,2,,1,,1,0,0,0
2009,,,,no,,once or twice a month,yes,44,45,3,3,1,1,2,0,0,0
2010,,,,no,,three of four days per week,yes,45,46,3,3,1,1,2,0,0,0
2011,,,,yes,"no, I stopped",once or twice a month,no,46,47,3,3,1,1,2,0,0,0
2011,no,good,good,no,,three of four days per week,yes,47,48,3,3,1,1,2,0,0,0
2012,no,very good,very good,yes,"no, I stopped",once or twice a week,no,48,49,3,3,1,1,2,0,0,0
2013,yes,very good,very good,no,,once or twice a week,no,49,50,3,3,1,1,2,0,0,0
2013,,,,,,,,48,49,3,3,1,1,2,0,0,0
2014,yes,very good,very good,,,,,50,51,3,3,1,1,1,0,0,0
2014,no,good,good,,,,,50,51,3,3,1,1,1,0,0,0
